158,Slate Gray,x11,"{112,128,144}","{0.583333,0.222222,0.564706}","{52.8363,-2.1386,-10.5774}",13.0639,87,f
105,Light Steel Blue,x11,"{176,196,222}","{0.594203,0.207207,0.870588}","{78.4523,-1.2758,-15.2199}",18.8326,88,f
46,Cornflower,x11,"{100,149,237}","{0.607056,0.578059,0.929412}","{61.9282,9.3428,-49.3062}",56.6804,89,f
148,Royal Blue,x11,"{65,105,225}","{0.625,0.711111,0.882353}","{47.8328,26.2743,-65.2706}",67.9869,90,f
122,Midnight Blue,x11,"{25,25,112}","{0.666667,0.776786,0.439216}","{15.8596,31.7202,-49.5781}",41.0122,91,f
38,Blue,x11,"{0,0,255}","{0.666667,1,1}","{32.3026,79.1967,-107.864}",120.208,92,f
50,Dark Blue,x11,"{0,0,139}","{0.666667,1,0.545098}","{14.7573,50.4288,-68.6831}",65.5252,93,f
114,Medium Blue,x11,"{0,0,205}","{0.666667,1,0.803922}","{24.9762,67.1837,-91.503}",96.6379,94,f
127,Navy,x11,"{0,0,128}","{0.666667,1,0.501961}","{12.9752,47.5084,-64.7043}",60.3398,95,f
157,Slate Blue,x11,"{106,90,205}","{0.689855,0.560976,0.803922}","{45.3373,36.0495,-57.7802}",50.8615,96,f
63,Dark Slate Blue,x11,"{72,61,139}","{0.690171,0.561151,0.545098}","{30.8293,26.058,-42.0888}",34.4706,97,f
118,Medium Slate Blue,x11,"{123,104,238}","{0.690298,0.563025,0.933333}","{52.1575,41.0798,-65.4055}",59.2002,98,f
116,Medium Purple,x11,"{147,112,219}","{0.721184,0.488584,0.858824}","{54.9753,36.8076,-50.0993}",44.5446,99,f
39,Blue Violet,x11,"{138,43,226}","{0.753188,0.809735,0.886275}","{42.1881,69.8583,-74.7742}",74.7277,100,f
87,Indigo,x11,"{75,0,130}","{0.762821,1,0.509804}","{20.4698,51.694,-53.3195}",53.2812,101,f
144,Purple (X11),x11,"{160,32,240}","{0.769231,0.866667,0.941176}","{45.3561,78.7498,-77.4058}",85.666,102,f
59,Dark Orchid,x11,"{153,50,204}","{0.778139,0.754902,0.8}","{43.3792,65.1669,-60.1095}",64.0538,103,f
66,Dark Violet,x11,"{148,0,211}","{0.78357,1,0.827451}","{39.5788,76.3367,-70.3785}",88.4396,104,f
115,Medium Orchid,x11,"{186,85,211}","{0.800265,0.597156,0.827451}","{53.6422,59.0725,-47.4148}",54.4692,105,f
164,Thistle,x11,"{216,191,216}","{0.833333,0.115741,0.847059}","{80.0773,13.2236,-9.2389}",11.7851,106,f
142,Plum,x11,"{221,160,221}","{0.833333,0.276018,0.866667}","{73.3727,32.5391,-21.9972}",28.7557,107,f
167,Violet,x11,"{238,130,238}","{0.833333,0.453782,0.933333}","{69.6937,56.3682,-36.8236}",50.9117,108,f
56,Dark Magenta,x11,"{139,0,139}","{0.833333,1,0.545098}","{32.5974,62.565,-38.7426}",65.5252,109,f
74,Fuchsia,x11,"{255,0,255}","{0.833333,1,1}","{60.3199,98.2542,-60.843}",120.208,110,f
110,Magenta,x11,"{255,0,255}","{0.833333,1,1}","{60.3199,98.2542,-60.843}",120.208,111,f
145,Purple (W3C),x11,"{127,0,127}","{0.833333,1,0.498039}","{29.524,58.6082,-36.2923}",59.8684,112,f
133,Orchid,x11,"{218,112,214}","{0.839623,0.486239,0.854902}","{62.801,55.2937,-34.4175}",49.0533,113,f
121,Medium Violet Red,x11,"{199,21,133}","{0.895131,0.894472,0.780392}","{44.7616,71.0068,-15.1824}",73.4726,114,f
67,Deep Pink,x11,"{255,20,147}","{0.909929,0.921569,1}","{55.9543,84.5562,-5.7147}",96.0428,115,f
85,Hot Pink,x11,"{255,105,180}","{0.916667,0.588235,1}","{65.4818,64.2509,-10.6598}",61.2372,116,f
111,Maroon (X11),x11,"{176,48,96}","{0.9375,0.727273,0.690196}","{41.5142,54.7144,2.4587}",52.7973,117,f
137,Pale Violet Red,x11,"{219,112,147}","{0.945483,0.488584,0.858824}","{60.5648,45.5273,0.3917}",44.5446,118,f
48,Crimson,x11,"{220,20,60}","{0.966667,0.909091,0.862745}","{47.0298,70.9359,33.595}",86.4099,119,f
141,Pink,x11,"{255,192,203}","{0.970899,0.247059,1}","{83.5848,24.1495,3.3155}",27.4752,120,f
100,Light Pink,x11,"{255,182,193}","{0.974886,0.286275,1}","{81.0526,27.9688,5.0255}",32.1351,121,f
29,Alice Blue,x11,"{240,248,255}","{0.577778,0.0588235,1}","{97.1789,-1.3431,-4.2731}",6.12826,122,t
33,Azure,x11,"{240,255,255}","{0.5,0.0588235,1}","{98.9328,-4.8752,-1.6983}",7.07107,123,t
72,Floral White,x11,"{255,250,240}","{0.111111,0.0588235,1}","{98.4014,-0.0318,5.3663}",6.2361,124,t
76,Ghost White,x11,"{248,248,255}","{0.666667,0.027451,1}","{97.7573,1.2526,-3.3559}",3.29983,125,t
84,Honeydew,x11,"{240,255,240}","{0.333333,0.0588235,1}","{98.5658,-7.5604,5.4658}",7.07107,126,t
88,Ivory,x11,"{255,255,240}","{0.166667,0.0588235,1}","{99.6398,-2.5469,7.1529}",7.07107,127,t
91,Lavender Blush,x11,"{255,240,245}","{0.944444,0.0588235,1}","{96.0684,5.8928,-0.6042}",6.2361,128,t
123,Mint Cream,x11,"{245,255,250}","{0.416667,0.0392157,1}","{99.1566,-4.158,1.2364}",4.08248,129,t
153,Seashell,x11,"{255,245,238}","{0.0686275,0.0666667,1}","{97.1211,2.1669,4.5441}",6.97615,130,t
159,Snow,x11,"{255,250,250}","{0,0.0196078,1}","{98.6437,1.662,0.577}",2.35702,131,t
